Student_ID,Age,Prior_Knowledge,Current_Mastery,Quiz_Score,Assignment_Score,Study_Time_Hours,Difficulty_Preference,Learning_Speed,Interest_Level,Concept_Completed,Concept_Current,Concept_Next,Mastery_Growth,Completion_Time,Learning_Objective
S00001,25,0.126,0.412,41.7,51.3,2.4,Medium,Slow,5,Variables,Data Types,Operators,0.327,8.0,Deep Learning
S00002,26,0.215,0.477,50.3,51.4,4.3,Hard,Fast,3,Data Types,Operators,Conditionals,0.268,8.2,Deep Learning
S00003,21,0.223,0.347,38.5,28.7,6.9,Easy,Average,5,Strings,Lists & Collections,Dictionaries,0.539,7.2,Deep Learning
S00004,25,0.438,0.473,45.4,60.8,9.2,Medium,Fast,3,Dictionaries,File I/O,Error Handling,0.512,7.9,Deep Learning
S00005,16,0.253,0.448,38.4,49.3,12.7,Medium,Slow,2,Error Handling,OOP,Data Structures,0.643,12.3,Deep Learning
S00006,21,0.462,0.437,43.8,48.0,4.4,Easy,Average,3,Strings,Lists & Collections,Dictionaries,0.426,9.0,Deep Learning
S00007,23,0.611,0.334,38.5,25.0,2.3,Hard,Average,3,OOP,Data Structures,Recursion,0.331,12.5,Deep Learning
S00008,21,0.466,0.485,59.7,46.3,4.7,Medium,Average,2,Strings,Lists & Collections,Dictionaries,0.312,9.5,Deep Learning
S00009,25,0.555,0.391,28.8,30.0,2.7,Hard,Average,3,Lists & Collections,Dictionaries,File I/O,0.312,13.1,Deep Learning
S00010,35,0.18,0.375,30.2,22.4,5.4,Easy,Fast,2,Strings,Lists & Collections,Dictionaries,0.385,5.8,Deep Learning
S00011,34,0.488,0.533,56.0,51.9,3.3,Medium,Fast,3,Functions,Strings,Lists & Collections,0.346,5.2,Deep Learning
S00012,26,0.515,0.84,81.1,94.0,19.8,Hard,Average,5,NumPy,Pandas,Data Visualization,0.883,8.9,Deep Learning
S00013,25,0.077,0.486,45.8,48.5,6.5,Medium,Fast,1,Data Types,Operators,Conditionals,0.32,5.2,Deep Learning
S00014,32,0.773,0.417,41.9,37.3,3.7,Easy,Fast,1,Dictionaries,File I/O,Error Handling,0.262,10.4,Deep Learning
S00015,27,0.707,0.775,71.5,74.9,8.9,Easy,Slow,4,Lists & Collections,Dictionaries,File I/O,0.434,13.2,Deep Learning
S00016,25,0.684,0.429,42.2,27.1,6.6,Hard,Average,3,OOP,Data Structures,Recursion,0.396,16.0,Deep Learning
S00017,16,0.054,0.377,35.1,36.5,5.6,Hard,Average,5,Loops,Functions,Strings,0.303,9.0,Deep Learning
S00018,22,0.361,0.498,49.2,68.7,8.3,Medium,Fast,1,File I/O,Error Handling,OOP,0.559,6.7,Deep Learning
S00019,19,0.162,0.284,26.4,27.5,1.4,Hard,Fast,2,Operators,Conditionals,Loops,0.158,8.5,Deep Learning
S00020,32,0.021,0.458,43.5,45.2,5.6,Medium,Slow,5,Data Types,Operators,Conditionals,0.348,8.5,Deep Learning
S00021,31,0.333,0.772,69.0,84.3,21.6,Hard,Average,4,Algorithms,Complexity Analysis,NumPy,0.936,9.4,Deep Learning
S00022,28,0.864,0.452,45.5,34.3,2.7,Medium,Fast,4,Dictionaries,File I/O,Error Handling,0.353,8.3,Deep Learning
S00023,30,0.447,0.726,75.2,80.2,10.0,Medium,Fast,5,Strings,Lists & Collections,Dictionaries,0.568,6.0,Deep Learning
S00024,30,0.388,0.492,59.6,42.5,6.7,Easy,Fast,1,Strings,Lists & Collections,Dictionaries,0.381,6.2,Deep Learning
S00025,29,0.28,0.514,60.5,36.9,10.9,Medium,Slow,3,Dictionaries,File I/O,Error Handling,0.545,10.0,Deep Learning
S00026,19,0.423,0.429,48.3,45.0,5.2,Easy,Fast,3,Lists & Collections,Dictionaries,File I/O,0.398,6.3,Deep Learning
S00027,22,0.483,0.339,29.1,40.6,6.1,Easy,Average,5,Strings,Lists & Collections,Dictionaries,0.49,7.7,Deep Learning
S00028,30,0.716,0.402,34.0,36.9,6.9,Medium,Fast,5,Recursion,Algorithms,Complexity Analysis,0.547,10.1,Deep Learning
S00029,16,0.388,0.401,38.8,43.0,1.3,Easy,Slow,2,Conditionals,Loops,Functions,0.302,15.1,Deep Learning
S00030,21,0.154,0.491,50.3,58.8,9.8,Medium,Average,5,Operators,Conditionals,Loops,0.549,7.5,Deep Learning
S00031,23,0.719,0.507,47.9,48.2,2.9,Medium,Average,1,File I/O,Error Handling,OOP,0.325,12.5,Deep Learning
S00032,21,0.563,0.55,49.6,58.9,8.8,Hard,Fast,2,Error Handling,OOP,Data Structures,0.411,8.2,Deep Learning
S00033,30,0.386,0.632,58.1,49.7,13.8,Easy,Fast,4,OOP,Data Structures,Recursion,0.445,7.6,Deep Learning
S00034,38,0.396,0.541,49.3,62.2,6.0,Easy,Slow,5,Strings,Lists & Collections,Dictionaries,0.582,8.0,Deep Learning
S00035,18,0.417,0.715,74.7,57.4,18.6,Medium,Average,5,Complexity Analysis,NumPy,Pandas,0.919,5.6,Deep Learning
S00036,30,0.11,0.426,47.5,48.5,8.9,Medium,Fast,1,Data Types,Operators,Conditionals,0.419,4.9,Deep Learning
S00037,25,0.729,0.517,52.0,44.8,3.1,Medium,Average,3,Dictionaries,File I/O,Error Handling,0.419,11.4,Deep Learning
S00038,23,0.243,0.502,58.9,47.9,7.1,Medium,Average,1,File I/O,Error Handling,OOP,0.461,6.1,Deep Learning
S00039,17,0.247,0.552,43.6,43.7,2.7,Medium,Fast,1,Data Types,Operators,Conditionals,0.192,4.9,Deep Learning
S00040,28,0.357,0.719,60.1,76.8,16.8,Hard,Fast,5,File I/O,Error Handling,OOP,0.719,5.6,Deep Learning
S00041,16,0.683,0.505,53.8,45.7,8.9,Medium,Fast,3,OOP,Data Structures,Recursion,0.493,10.0,Deep Learning
S00042,17,0.009,0.318,35.4,18.3,1.1,Easy,Fast,1,None,Python Basics,Variables,0.289,8.0,Deep Learning
S00043,25,0.25,0.535,45.8,58.8,2.5,Medium,Fast,2,Variables,Data Types,Operators,0.247,3.9,Deep Learning
S00044,25,0.835,0.521,48.4,29.0,3.5,Hard,Slow,3,OOP,Data Structures,Recursion,0.417,17.9,Deep Learning
S00045,19,0.128,0.576,53.9,53.6,9.8,Medium,Fast,4,Loops,Functions,Strings,0.542,6.1,Deep Learning
S00046,32,0.262,0.497,43.3,47.9,14.0,Easy,Slow,3,Lists & Collections,Dictionaries,File I/O,0.691,10.4,Deep Learning
S00047,17,0.538,0.608,59.3,49.9,11.0,Medium,Slow,2,Dictionaries,File I/O,Error Handling,0.505,14.0,Deep Learning
S00048,21,0.118,0.184,10.5,22.4,1.9,Easy,Average,1,Conditionals,Loops,Functions,0.282,10.5,Deep Learning
S00049,22,0.331,0.362,42.7,52.3,1.7,Easy,Average,2,Functions,Strings,Lists & Collections,0.322,8.6,Deep Learning
S00050,18,0.559,0.819,90.6,87.6,22.1,Hard,Average,3,Algorithms,Complexity Analysis,NumPy,0.971,8.4,Deep Learning
S00051,26,0.123,0.626,54.9,66.1,20.9,Easy,Fast,1,Recursion,Algorithms,Complexity Analysis,0.734,4.3,Deep Learning
S00052,23,0.262,0.448,36.0,49.4,8.9,Medium,Average,3,Functions,Strings,Lists & Collections,0.535,4.4,Deep Learning
S00053,23,0.412,0.428,34.1,39.9,3.7,Medium,Average,3,Functions,Strings,Lists & Collections,0.371,8.3,Deep Learning
S00054,20,0.533,0.645,56.4,45.5,5.5,Easy,Fast,4,Functions,Strings,Lists & Collections,0.368,6.1,Deep Learning
S00055,24,0.199,0.372,50.6,37.5,5.6,Medium,Slow,1,Functions,Strings,Lists & Collections,0.453,10.7,Deep Learning
S00056,24,0.336,0.63,63.1,66.0,14.1,Medium,Slow,2,Error Handling,OOP,Data Structures,0.7,7.8,Deep Learning
S00057,27,0.212,0.394,32.4,45.9,4.3,Easy,Average,1,Operators,Conditionals,Loops,0.353,5.9,Deep Learning
S00058,16,0.398,0.581,66.9,54.3,8.8,Hard,Fast,3,Loops,Functions,Strings,0.291,4.1,Deep Learning
S00059,19,0.277,0.609,59.9,75.2,14.8,Medium,Slow,5,File I/O,Error Handling,OOP,0.743,13.4,Deep Learning
S00060,22,0.284,0.595,63.2,71.7,9.9,Easy,Average,2,File I/O,Error Handling,OOP,0.393,10.1,Deep Learning
S00061,18,0.432,0.49,60.6,51.8,6.6,Medium,Slow,2,OOP,Data Structures,Recursion,0.45,15.1,Deep Learning
S00062,23,0.514,0.293,32.0,0.0,10.5,Medium,Average,1,Data Structures,Recursion,Algorithms,0.426,13.0,Deep Learning
